StudentID,CourseID
TP009,C301
TP009,C302
TP009,C303
TP009,C304
TP009,C305
TP010,BM401
TP010,BM402
TP010,BM403
TP010,BM404
TP010,BM405
TP012,C306
TP012,C307
TP012,C308
TP012,C309
TP012,C310
TP013,IR501
TP013,IR502
TP013,IR503
TP013,IR504
TP013,IR505
TP014,BM401
TP014,BM402
TP014,BM403
TP014,BM404
TP014,BM405
TP018,AI202
TP018,AI203
TP018,AI204
TP018,AI205
TP018,AI202
TP018,AI203
TP018,AI204
TP018,AI205
TP021,C302
TP021,C303
TP021,C304
TP021,C305
TP021,C302
TP021,C303
TP021,C304
TP021,C305
TP023,C301
TP023,C302
TP023,C303
TP023,C304
TP023,C305
TP023,C301
TP023,C302
TP023,C303
TP023,C304
TP023,C305
